target,temperature,PSI,flow_rate_lfm,geophone,accelerometer
normal,220.6706216,3272.636671,69.19168207,0.600591119,7.763934448
normal,212.9238985,3217.587189,68.98834743,0.551713675,6.917721225
normal,212.9975456,3291.343286,67.35648833,0.458601686,8.087620978
normal,216.8360982,3266.943174,70.11380201,0.570883705,7.578118459
normal,215.4897542,3262.786169,63.46219342,0.546971886,7.40686017
normal,221.4005557,3279.903637,66.03330028,0.622551202,8.035296847
normal,219.151643,3151.03658,64.39194461,0.475387331,7.661378598
normal,211.0793599,3302.68718,68.27129181,0.590302231,9.092754363
normal,212.3159395,3259.127027,62.27418249,0.49348279,7.55824724
normal,218.7996122,3230.857544,67.86131598,0.540114176,6.142505724
normal,210.2624728,3289.152746,69.3372764,0.581678558,8.207992212
normal,217.6709533,3194.110565,72.46264479,0.624194223,7.337624387
normal,214.9424117,3335.189387,66.86378859,0.613982482,5.126411515
normal,210.8185821,3277.239843,69.4534114,0.535089209,10.09776004
normal,216.6123794,3286.391062,66.09517678,0.64661887,7.2332957
normal,220.1237207,3257.313416,68.85966721,0.646598007,10.00239307
normal,211.2504259,3238.892953,72.24463614,0.594388168,9.086358306
normal,216.3736639,3278.008166,68.21792244,0.549461054,6.430401793
normal,212.7430531,3293.263149,67.63328114,0.60617024,6.74888855
normal,209.0398035,3243.242086,65.71508911,0.525580107,6.237271871
normal,215.920983,3270.532598,69.57331299,0.589295729,10.15667396
normal,219.2322803,3252.34404,68.77761747,0.536258537,8.08269258
normal,214.7049791,3299.561561,69.79279727,0.54259656,7.571037299
normal,211.640449,3296.244036,70.08066141,0.642870963,8.882839985
normal,215.7591004,3255.295316,69.57222464,0.616153771,6.450960293
normal,210.4934853,3245.530864,67.95172689,0.606950002,7.662597924
normal,212.5316413,3284.398872,69.63416694,0.618001214,7.728470827
normal,215.5731821,3269.087863,63.44907342,0.582745001,8.491342068
normal,217.8412258,3205.791505,73.63442622,0.495515797,8.513041813
normal,215.2432589,3199.495899,66.1315617,0.642630392,7.22823151
normal,226.7986938,3307.304028,68.07077905,0.328064984,9.580243504
normal,213.9392408,3242.853871,66.9206112,0.724806891,5.552516488
normal,214.3007946,3238.042285,62.94151509,0.614115552,7.461044988
normal,211.2861255,3240.440659,71.19747442,0.728690932,6.119156035
normal,211.6818308,3305.29606,69.11325904,0.557421642,8.477035824
normal,214.3696779,3248.413546,69.3213693,0.552769525,7.72405602
normal,215.1235669,3216.80806,65.52158036,0.477405123,9.135453733
normal,205.8558124,3247.648359,68.72063129,0.590804339,7.77528772
normal,207.1060977,3204.406339,68.61355635,0.663793763,6.227721607
normal,223.1484686,3308.003122,62.77716185,0.491283542,7.774772048
normal,213.9749903,3254.941875,66.50387096,0.568724337,6.537748811
normal,218.9615742,3202.325633,69.10962153,0.644478642,6.982433789
normal,210.4678988,3241.131111,65.38121277,0.724808674,6.418956753
normal,209.9498532,3250.17958,69.67872461,0.538519239,7.206095905
normal,208.9400614,3244.55236,64.7887723,0.571461553,7.119033049
normal,214.3957076,3259.125009,65.47903209,0.54215941,5.971234322
normal,227.4298195,3269.277482,67.9078088,0.666286777,8.80520854
normal,215.8113553,3243.437708,70.96335056,0.604955528,8.812909428
normal,224.0532323,3301.085803,71.01065622,0.571399232,8.320413975
normal,220.994639,3262.391109,70.07237933,0.441678797,8.978771728
normal,223.6104074,3294.925541,65.89201315,0.630295729,7.353335394
normal,222.6197108,3347.763113,63.66138348,0.573413965,6.467538969
normal,212.6450949,3252.457289,68.05820758,0.611957291,8.329567355
normal,210.5986286,3187.49055,68.15289587,0.567761932,7.568169364
normal,224.9367679,3267.812987,72.8864429,0.49686422,8.862129432
normal,225.0681133,3271.791871,70.68613947,0.540130071,7.651080933
normal,205.6185258,3248.224572,61.95502822,0.574973227,6.724494698
normal,223.2531531,3301.751604,67.78754361,0.574127835,7.173012298
normal,218.2337585,3235.704761,68.33291369,0.506711602,6.515138839
normal,207.8138792,3257.718273,66.23334651,0.593396112,8.682973297
normal,209.946242,3238.379267,67.67601149,0.529254689,7.995237912
normal,220.0807389,3227.762532,64.1796221,0.533510026,6.224833334
normal,215.4396732,3221.471856,70.72113849,0.576893296,8.75560354
normal,221.4534337,3245.190467,70.58074595,0.411421862,6.409410244
normal,209.1346962,3262.857849,68.28712855,0.594318709,8.930824304
normal,201.6288718,3213.751641,74.20220989,0.725488195,7.688024433
normal,211.6072831,3259.413551,67.03486862,0.508463254,8.715222931
normal,220.9979459,3263.885548,66.10786374,0.597529188,6.955810034
normal,217.3954675,3153.420425,66.83520447,0.563574314,8.532920398
normal,211.4069929,3210.196379,68.15178137,0.650015139,6.060412914
normal,218.3262678,3278.88026,66.77077848,0.473065968,7.733514532
normal,223.1140729,3289.343576,67.13474957,0.623668404,8.704503124
normal,225.4852991,3257.116432,69.41562386,0.619359469,8.946374118
normal,213.120465,3277.935764,67.43525773,0.425433943,8.7676068
normal,213.4158296,3233.499188,65.60558917,0.40399175,9.482244862
normal,211.2371568,3272.210702,70.31777922,0.588750513,9.502495313
normal,215.0876743,3259.072117,69.19208167,0.626339751,8.727254397
normal,212.1392463,3260.536644,67.67966275,0.700943989,8.571082665
normal,219.1223753,3232.685616,69.04806974,0.563055183,6.62216854
normal,219.9207589,3222.889649,67.67685233,0.584675151,5.841147352
normal,217.4230409,3268.156682,68.30020689,0.471898451,7.040651036
normal,219.0486707,3250.624148,66.1488616,0.651639813,6.43955079
normal,213.5423498,3241.763827,67.56900943,0.561470018,5.970663864
normal,219.7874085,3206.039324,66.24795624,0.57344248,10.9569272
normal,219.8530916,3212.200058,68.73914923,0.483777871,6.344418233
normal,213.9307342,3238.814288,70.80363878,0.543809279,7.097780139
normal,221.6106907,3285.50069,68.4856155,0.508096866,7.408862309
normal,213.9913032,3234.369217,69.13915371,0.443271877,7.52733658
normal,218.493923,3262.190878,67.99769698,0.738503102,8.041033301
normal,213.2414217,3210.563191,69.31636086,0.445141097,7.370142784
normal,219.8841721,3270.612747,66.20368909,0.487634363,7.535102502
normal,209.1680185,3233.780273,68.13404044,0.582851595,7.73111216
normal,221.2812305,3250.40273,63.62546816,0.57728933,7.767400561
normal,219.9148859,3227.745501,70.1389738,0.589029586,5.819271352
normal,212.3690595,3213.669492,69.92408152,0.556418726,6.217284104
normal,222.3977751,3260.809891,66.33377101,0.538025084,7.453119304
normal,217.2530508,3239.856509,67.90623773,0.578319886,7.67291047
normal,218.4225274,3271.45958,69.59659385,0.579280964,8.797096738
normal,219.0467542,3214.44886,65.86097052,0.460035755,6.062498922
normal,214.9684408,3219.204564,64.67569102,0.4721408,8.485053249
normal,215.1027268,3240.019386,65.49352429,0.609384714,9.124167565
normal,218.5159885,3245.439896,68.93875788,0.435320456,8.276594628
normal,215.7636571,3192.000674,69.10956129,0.471002843,7.6556919
normal,212.8629205,3277.610604,64.80911443,0.470202758,7.572551803
normal,209.0476416,3189.737311,69.70433287,0.541296156,8.359941748
normal,212.6325434,3216.444751,65.60310776,0.617157717,7.180638119
normal,224.5639709,3221.129211,70.11130009,0.671085338,8.643642807
normal,216.7268728,3160.520052,71.06095239,0.474992849,7.05766775
normal,210.1981937,3306.365616,70.08666129,0.529691131,9.169319907
